States,Median Household Income,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population,Real GDP (2017),Total population in poverty status,Population for whom poverty status is determined!!AGE!!Under 18 years,Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years,Population for whom poverty status is determined!!AGE!!18 to 64 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years,Population for whom poverty status is determined!!AGE!!60 years and over,Population for whom poverty status is determined!!AGE!!65 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
New Hampshire,119452,1395231,62666,68161,70890,85585,83149,86877,95126,89224,82825,77082,94563,103977,113123,92344,77838,51216,30906,29679,696786,698445,90150.5,98057,16987,11795,59377,23221,36156,29776,21693,70395,9281,29855,19553,11706,55336,7000,31100,1180700,29400,15,10595396,769286,1202541
New Jersey,134191,9261699,513333,533608,585993,576961,569581,575079,608742,618639,615081,574266,621190,625009,632491,511912,412685,310908,190282,185939,4564704,4696995,646731.3,882045,253875,185467,470029,177211,292818,212004,158141,547392,125288,205557,118734,97813,426757,87000,142600,6339500,85500,19,58669340,11173210,9743321
New Mexico,82382,2113344,104994,123352,141184,144717,145968,132885,141429,137483,137911,115219,123054,124063,136301,129632,112349,78558,46822,37423,1047785,1065559,101315,364725,105030,81726,207796,91744,116052,73337,51899,214099,51096,68209,68807,25987,167217,7100,37600,1584500,88000,64,44215688,12641403,2813616
New York,119130,19677151,1055455,1070033,1161685,1198745,1298992,1349368,1412882,1302139,1234655,1144828,1260979,1305675,1317119,1110632,921647,660817,436311,435189,9628899,10048252,1763524.6,2734819,735742,544296,1541232,644511,896721,621362,457845,1699412,466085,569865,370810,292652,1395250,84700,259600,9987400,152000,63,182585294,29581673,26341323
North Carolina,94353,10698973,584492,621266,678318,704046,738731,694675,725754,706955,669729,649203,696691,664013,698486,603440,512328,367035,209727,174084,5229792,5469181,609058.2,1329157,388142,282297,742843,333911,408932,284210,198172,770841,185201,266337,202170,117133,606404,45600,175300,7700300,209600,75,135611872,23078529,9622524
North Dakota,97699,779261,47844,52217,51533,55008,57873,57527,55198,54290,52196,37484,38252,42226,47320,44045,31761,23173,14123,17191,398845,380416,54798.7,86192,22552,16999,51429,29232,22197,17271,12211,44608,5413,17448,16787,4960,31055,600,6600,614300,43800,89,13972967,2411121,825215
Ohio,90109,11756058,661196,691486,747870,757937,766640,753302,785769,727581,747847,663708,738731,740167,805159,701941,585145,392711,254530,234338,5810211,5945847,689681.3,1540922,446159,322647,879306,406385,472921,309252,215457,887165,183066,360158,235493,108448,682113,34100,165700,8868300,197000,105,107486485,19159360,12207033
Oklahoma,82741,4019800,240173,262609,282676,283637,289564,262123,272834,272589,259933,227755,229095,223204,251612,213395,176775,131738,76591,63497,2004195,2015605,191583,610254,184904,134284,353497,166351,187146,105220,71853,339298,75974,127515,98184,37625,257696,16300,47000,3538100,147500,117,54973842,7655760,3198101
Oregon,102923,4240137,199584,229279,250140,257747,259457,283965,312382,298182,295667,262780,261804,242699,269737,256689,231256,157637,88028,83104,2121651,2118486,254708.4,503935,112447,83004,312339,134358,177981,117024,79149,321873,59796,93802,111656,56619,246733,47000,138900,3065400,216100,90,46546595,7367405,6010527
Pennsylvania,100015,12972008,668734,719322,761677,841351,829180,803919,873402,830928,792644,723451,818012,847170,923164,813798,654025,476780,294304,300147,6399830,6572178,772335.9,1483365,393542,287114,842119,371377,470742,348476,247704,910714,172162,393747,204134,140671,718299,47400,199600,8888900,191700,66,140707236,17447129,9907664
