States,Median Household Income,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population,Real GDP (2017),Total population in poverty status,Population for whom poverty status is determined!!AGE!!Under 18 years,Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years,Population for whom poverty status is determined!!AGE!!18 to 64 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years,Population for whom poverty status is determined!!AGE!!60 years and over,Population for whom poverty status is determined!!AGE!!65 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Oklahoma,82741,4019800,240173,262609,282676,283637,289564,262123,272834,272589,259933,227755,229095,223204,251612,213395,176775,131738,76591,63497,2004195,2015605,191583.0,610254,184904,134284,353497,166351,187146,105220,71853,339298,75974,127515,98184,37625,257696,0.004054928105875914,0.011692123986267974,0.8801681675705259,0.03669336782924524,117,13.675765460968208,1.9045126623215085,0.7955870938852679
Oregon,102923,4240137,199584,229279,250140,257747,259457,283965,312382,298182,295667,262780,261804,242699,269737,256689,231256,157637,88028,83104,2121651,2118486,254708.4,503935,112447,83004,312339,134358,177981,117024,79149,321873,59796,93802,111656,56619,246733,0.011084547504007536,0.0327583754958861,0.7229483386975468,0.050965334374809115,90,10.97761581760212,1.7375393766758007,1.4175313203323383
Pennsylvania,100015,12972008,668734,719322,761677,841351,829180,803919,873402,830928,792644,723451,818012,847170,923164,813798,654025,476780,294304,300147,6399830,6572178,772335.9,1483365,393542,287114,842119,371377,470742,348476,247704,910714,172162,393747,204134,140671,718299,0.003654021798321432,0.015386977868037085,0.6852370118797336,0.014777974234983513,66,10.846989610243842,1.3449829047283968,0.7637725786169728
Rhode Island,108023,1093734,51955,53959,59764,73740,76125,72475,78504,72105,65817,60238,68957,73528,80450,67053,53342,38563,23666,23493,535841,557893,62190.9,113878,23487,18370,65824,28324,37500,32714,24567,76281,18947,29180,17192,10962,64456,0.003931486083453564,0.0170059630586596,0.7154390372796311,0.01024014979876277,6,4.693165797168233,0.867180685614601,1.0722561427184307
South Carolina,88704,5282634,281426,309601,327157,347645,351883,318472,345190,327781,340139,300228,330117,326972,367405,324744,283274,193003,115311,92286,2569909,2712725,250873.4,717348,211202,154804,402549,170393,232156,151287,103597,417709,95644,157062,111702,53301,321020,0.0025555433141875813,0.012645206917609663,0.8054126028795483,0.020368626711598798,57,11.416223800475294,2.1226833053359364,0.84110881049113
South Dakota,90806,909824,57246,59977,63989,62422,60455,55932,55220,55698,60333,49990,47030,51885,63738,56436,45126,27643,17433,19271,462457,447367,54959.3,109889,32473,22387,60179,30670,29509,23513,17237,59917,10930,24559,16037,8391,46837,0.0013189364096792347,0.011320870849746765,0.8126846510973551,0.05825302476083286,71,19.595028269203713,2.659645162141249,1.183997124718627
Tennessee,89799,7051339,402215,422122,439813,446948,472131,471280,492908,458980,450035,417500,450229,449565,459649,399555,329988,233975,137964,116482,3462618,3588721,412101.3,915683,266105,187143,519031,230139,288892,189466,130547,538210,125505,222830,129947,59928,422148,0.003119974801948963,0.013330801426509206,0.7851132955031661,0.022364546648515976,75,10.83254414516165,2.8293178075823615,1.2007649894580306
Texas,101738,30029572,1881718,2070802,2173132,2160735,2145802,2124620,2204737,2142529,2096393,1860639,1827226,1641396,1662758,1375570,1085585,747528,444397,384005,15021141,15008431,1924007.5,4113641,1411535,1022291,2216792,1087679,1129113,682643,485314,2154261,622320,689749,536718,305474,1625868,0.004961775678987366,0.012048123762802879,0.7015018395866581,0.02567469160066617,287,11.339740906064195,2.6407312098887057,1.4375518905164548
Utah,114044,3380800,228464,253833,278120,277956,299515,253050,241726,226927,234290,200039,173156,149430,160595,136078,109538,74988,45152,37943,1716117,1664683,213898.3,273052,77607,54341,165739,101494,64245,41404,29706,132061,18825,41670,43863,27703,93694,0.008282063416942735,0.02049810695693327,0.726070752484619,0.045847136772361574,50,12.064255501656413,3.406672385234264,1.8737136180785612
Vermont,97261,647064,27875,30605,34125,43011,43805,37755,39760,41236,38943,35136,40657,41144,53185,46381,37179,25232,17682,13353,320698,326366,34609.4,65162,13062,8750,41352,19485,21867,16335,10748,42006,7052,14836,11646,8472,30490,0.008190843564160577,0.027508870838124203,0.7750392542314207,0.022718000074181226,11,8.587056303549572,1.2358298406340023,1.026638786889705
Virginia,119058,8683619,481682,507493,544175,569202,602285,556228,600394,593151,587669,518644,549626,557202,553826,468083,390636,283555,169820,149948,4299314,4384305,576964.3,891390,233581,164890,532805,251087,281718,182442,125004,516217,113936,180066,137685,84530,408135,0.006518019733477482,0.022847616874945804,0.7650381712970133,0.017699993516528074,52,11.07595681017327,2.3094496660896797,1.0198602679366748
Washington,125847,7785786,421722,464035,473406,457060,499354,561477,614820,589210,526428,463748,473087,451753,480544,426872,359449,248123,142675,132023,3930411,3855375,641143.6,763469,184816,140042,459268,201414,257854,170265,119385,482814,85913,144722,160314,91865,382296,0.013370519045861265,0.03470426749463702,0.725771296565305,0.035629029618846446,98,9.048453425254689,1.2342440442108222,2.252220392391982
West Virginia,75265,1775156,87469,96217,102819,111760,114325,102223,104869,100477,116189,105518,116477,114295,126356,119451,105223,68910,46114,36464,882101,893055,76525.5,308825,86400,60647,178196,78110,100086,62751,44229,184845,43717,82581,41059,17488,158006,0.0010703284669065704,0.010308953128626442,0.7140217535810938,0.0257442162829633,25,14.065239900042588,1.7258612764173966,0.4248297051076074
Wisconsin,94085,5892539,309244,333686,369101,385002,407006,366161,367568,376608,366385,328127,364381,392381,424503,368769,289697,199492,125211,119217,2958771,2933768,335688.5,617037,155879,113801,358199,177228,180971,144000,102959,358050,58586,146808,100110,52546,272279,0.0026643862688053486,0.017853085062313544,0.7768128475687645,0.02452253604091547,96,15.011583801142427,2.0781164112787374,1.082162205460159
Wyoming,90018,581381,30444,37271,38701,38287,36882,34971,37463,42391,39216,30529,33832,35054,38352,39086,29291,19540,11990,8081,297855,283526,37294.2,66943,17918,12895,38690,17269,21421,14027,10335,37668,4691,13067,14733,5177,26300,0.0013760339605181455,0.011868292909469006,0.8307805036628304,0.10526659797963814,40,23.240675219864425,3.0817415773821297,1.4596538242563826
